Date,Open,High,Low,Close
02/14/2024,"1.0712","1.0737","1.0695","1.0729"
02/13/2024,"1.0772","1.0805","1.0701","1.0709"
02/12/2024,"1.0782","1.0808","1.0757","1.0773"
02/09/2024,"1.0780","1.0797","1.0762","1.0784"
02/08/2024,"1.0773","1.0791","1.0742","1.0779"
02/07/2024,"1.0757","1.0787","1.0752","1.0774"
02/06/2024,"1.0743","1.0764","1.0724","1.0755"
02/05/2024,"1.0809","1.0809","1.0724","1.0744"
02/02/2024,"1.0874","1.0900","1.0781","1.0788"
02/01/2024,"1.0814","1.0877","1.0780","1.0872"
01/31/2024,"1.0844","1.0889","1.0796","1.0820"
01/30/2024,"1.0836","1.0859","1.0812","1.0846"
01/29/2024,"1.0866","1.0866","1.0796","1.0834"
01/26/2024,"1.0847","1.0886","1.0813","1.0855"
01/25/2024,"1.0885","1.0902","1.0823","1.0849"
01/24/2024,"1.0856","1.0934","1.0847","1.0887"
01/23/2024,"1.0883","1.0918","1.0823","1.0855"
01/22/2024,"1.0917","1.0917","1.0880","1.0885"
01/19/2024,"1.0878","1.0901","1.0866","1.0898"
